English Word,Translation,Part-of-Speech
eigenspace,"espacio propio {m}, autoespacio {m}, eigenespacio {m}",{n} (set of the eigenvectors associated with a particular eigenvalue)
eigenvalue,"autovalor {m}, valor propio {m}, valor característico {m} [dated]",{n} /ˈaɪɡənˌvæljuː/ (change in magnitude of an eigenvector)
eigenvector,"vector propio {m}, autovector {m}, eigenvector {m}",{n} (vector not rotated by linear transformation)
eight,ocho,{num} /eɪt/ (cardinal number 8)
eighteen,dieciocho,{cardinal num} /ˈeɪ.tiːn/ (cardinal number)
eighth,"octavo {m}, octava {f}; [abbreviations] 8º {m}, 8ª {f}",{adj} /eʔθ/ (ordinal form of the number eight)
eighth note,,{n} (eighth note)
eight hundred,ochocientos,{num} /ˈeɪt ˈhʌn.dɹəd/ (cardinal number 800)
eightieth,octogésimo,{adj} /ˈeɪtiəθ/ (ordinal form of the number eighty)
eight o'clock,las ocho,{n} (the start of the ninth hour)
eightsome,octeto {m},{n} (group of eight)
eight thousand,ocho mil,{n} (cardinal number)
eighty,ochenta,{cardinal num} (80)
einsteinium,einstenio {m},{n} (element with atomic number 99)
eisteddfod,Eisteddfod {m},{n} /eɪˈsteð.vɒd/ (Any of several annual festivals)
either,tampoco; o; cualquiera de los dos,{adv} ((after a negative) as well); {conj} (Introduces the first of two options); {determiner} /ˈiːð.ə(ɹ)/ (one or the other)
ejaculate,"eyacular; eyacular, acabar",{v} /ɪˈdʒæk.jə.leɪt/ (eject semen or vaginal fluid); {v}
ejaculation,eyaculación {f},{n} (ejection of semen through the urethra)
ejaculatory,eyaculador,{adj} /ɪ.ˈdʒæ.kjə.lə.ˌtɔɹ.i/ (of or pertaining to ejaculation)
ejector,eyector {m},{n} /ɪˈd͡ʒɛktɚ/ (ejector)
ekranoplan,ekranoplano,{n} (ground-effect vehicle)
el,ele {f},"{n} /ɛl/ (name of the letter L, l)"
El Aaiún,"El Aaiún, El Aiún","{prop} (El Aaiún, Western Sahara)"
elaborate,elaborar,{v} /ɪˈlæbərət/ (to give further detail or explanation)
elastic,; elástico {m}; ,{adj} (elasticated); {adj} /iˈlæs.tɪk/ (capable of stretching); {n} (elastic band)
elastic band,"cinta de goma {f}, goma {f}, gomita {f}, elástico {m}",{n} (loop of rubber or similar material)
elasticity,; elasticidad {f}; elasticidad {f},{n} (adaptability); {n} /ɪ.læsˈtɪs.ɪ.ti/ (physics: property by which a material can regain its original dimensions); {n} (quality of being elastic)
elastin,elastina {f},"{n} (protein with elastic properties, similar to collagen)"
elastomer,elastómero {m},{n} (any polymer having the elastic properties of rubber)
elation,euforia {f},{n} (An exhilarating psychological state of pride and optimism; an absence of depression)
elative,caso elativo {m}; elativo {m},{n} (elative case of a noun); {n} (elative degree of an adjective)
elative case,caso elativo {m},{n} (case used to indicate movement out of something)
Elbe,Elba {m},{prop} (European river)
elbow,codo {m},{n} /ˈɛlboʊ/ (joint between upper arm and forearm)
elbow bone,; ,{n} (olecranon); {n} (ulna)
elder,"anciano, adulto mayor; saúco {m}",{adj} /ˈɛldɚ/ (greater than another in age or seniority); {n} (small tree)
elderberry,; baya del saúco {f},{n} (elder tree); {n} (fruit)
elderly,anciano,{adj} (old)
Eleanor,Leonor,{prop} (female given name)
elect,elegir,{v} (to choose in election)
election,elección {f}; elección {f}; elección {f},{n} (choice of a leader or representatives); {n} (conscious choice); {n} /ɪˈlekʃ(ə)n/ (process of choosing a new leader or representatives)
elector,elector {m},{n} (person eligible to vote)
electoral,electoral,"{adj} (of, or relating to elections)"
electoral district,"circunscripción electoral {f}, distrito electoral {m}",{n} (district represented by one or more elected officials)
electoral fraud,fraude electoral {m},{n} (illegal interference with an election)
electorate,; electorado {m},{n} (geographic area encompassing electoral district); {n} (those entitled to vote collectively)
electric,"eléctrico (guitars), electrónico (other than guitars); electrizante; eléctrico; coche eléctrico {m}",{adj} (electronic (musical instrument)); {adj} (emotionally thrilling); {adj} /ɪˈlɛktɹɪk/ (electrical); {n} (electric car)
electrical,eléctrico,{adj} /ɪˈlɛktɹɪkəl/ (related to electronics)
electrical engineering,ingeniería eléctrica {f},{n} (branch of engineering)
electrical tape,"cinta aislante {f}, cinta aisladora {f}, cinta de aislar {f}, cinta eléctrica {f}",{n} (plastic tape)
electric car,"vehículo eléctrico de batería {m}, VEB {m}",{n} (a car that uses electric motors)
electric chair,silla eléctrica {f},{n} (A device used for performing execution by electrocution)
electric charge,carga eléctrica {f},{n} (electromagnetic state)
electric current,corriente eléctrica {f},{n} (measurement of the rate of flow of electric charge)
electric field,campo eléctrico {m},{n} (region around a charged particle)
electric guitar,guitarra eléctrica {f},{n} /ə.ˈlɛk.tɹɪk ɡɪ.ˈtɑːɹ/ (guitar which requires electronic amplification)
electrician,electricista {m} {f},{n} (tradesman who works with electrical equipment)
electricity,; ; ; electricidad {f},{n} (charge carriers within a conductor); {n} (flow of charge carriers within a conductor); {n} (form of secondary energy); {n} /ˌiː.lekˈtrɪs.ɪ.ti/ (form of energy)
electrification,electrificación {f},"{n} (the act of electrifying, or the state of being charged with electricity)"
electrocardiogram,electrocardiograma {m},{n} /əˌlɛktrəˈkɑrdiəˌɡræm/ (trace of an electrocardiograph)
electrochemical,electroquímico; electroquímico,{adj} (of or relating to a chemical reaction brought about by electricity); {adj} (of or relating to electricity produced by a chemical reaction)
electrode,electrodo {m},{n} /əˈlɛk.trəʊd/ (the terminal through which electric current passes)
electroencephalogram,electroencefalograma {m},{n} (a recording of electrical brain activity made by an electroencephalograph)
electroencephalographic,electroencefalográfico,{adj} (of or pertaining to electroencephalography)
electroencephalography,electroencefalografía {f},{n} (measurement of electrical activity in medicine)
electrolysis,electrólisis {f},{n} /ɪlɛkˈtɹɒləsɪs/ (chemical change)
electrolyte,"electrolito {m}, electrólito {m}",{n} (substance that ionizes and conducts electricity)
electromagnet,electroimán {m},{n} (magnet)
electromagnetic,electromagnético,{adj} (pertaining to electromagnetism)
electromagnetic interaction,interacción electromagnética {f},{n} (electromagnetic interaction)
electromagnetic wave,onda electromagnética {f},{n} (electromagnetic radiation)
electromagnetism,electromagnetismo {m},{n} /ɪˌlɛk.tɹəʊˈmæɡ.nəˌtɪzm̩/ (a fundamental force)
electron,electrón {m},{n} /ɪˈlɛktɹɑn/ (the negatively charged subatomic particles that orbit atoms)
electron cloud,nube de electrones {f},{n} (mathematically defined region)
electronegativity,electronegatividad {f},{n} (degree of electron attraction)
electronic,electrónico; electrónico,{adj} /ɪˌlɛkˈtɹɑː.nɪk/ (pertaining to electrons); {adj} (operating on behavior of electrons)
electronically,electrónicamente,{adv} (electronically)
electronic book,,{n} (e-book)
electronic cigarette,cigarrillo electrónico {m},{n} /ɪˌlɛkˈtʃɹɑːnɪk ˈsɪɡɚˌɛt/ (electronic cigarette)
electronic mail,correo electrónico {m},{n} (electronic system of communication)
electronics,electrónica {f},{n}
electron volt,electronvoltio {m},{n} (a unit for measuring the energy of subatomic particles)
electrophoresis,electroforesis {f},{n} (method for separation of large molecules)
electroretinography,electrorretinografía,{n} (a retinal diagnostic test)
electroscope,electroscopio {m},{n} (device that detects the presence of an electric charge)
electrostatics,electrostática {f},{n} (branch of physics)
electrum,electro {m},{n} /ɪˈlɛktɹəm/ (alloy of gold and silver)
elegance,"elegancia {f}, chic {m}",{n}
elegant,"elegante, chic",{adj} /ɛl.ə.ɡənt/ (exhibiting elegance)
elegantly,elegantemente,{adv} (gracefully)
elegy,elegía {f},{n} /ˈɛlɪdʒi/ (mournful or plaintive poem or song)
element,elemento {m}; elemento {m}; elemento {m},{n} (chemistry: simplest chemical substance); {n} /ˈel.ɪ.mənt/ (simplest or essential part or principle of anything); {n} (set theory: object in a set)
elementary function,función elemental {f},{n} (function)
elementary particle,partícula elemental {f},{n} (a)
elementary school,,{n} (school for children)
elephant,elefante {m},{n} /ˈɛləfənt/ (mammal)
elevate,"; subir; ; elevar, levantar, subir",{v} (ennoble); {v} (increase the intensity of); {v} (promote); {v} (raise)
elevation,"elevación; altitud {f},ascenso {m}, elevación {f}, exaltación {f}, enaltecimiento {m}, promontorio {m}",{n} (act of raising); {n}
elevator,,{n} /ˈɛl.ə.veɪ.tɚ/ (permanent construction)
eleven,once,{cardinal num} /ɪˈlɛv.ən/ (the cardinal number occurring after ten and before twelve)
eleven hundred,mil ciento,{num} (one thousand one hundred)
eleven o'clock,las once,{n} (the start of the twelfth hour)
eleventh,"undécimo; undécimo {m}, onceavo {m}; undécimo {m}, undécima {f}",{adj} /ɨˈlɛv.nθ/ (ordinal form of eleven); {n} (one of eleven equal parts of a whole); {n} (something in the eleventh position)
eleventh hour,casi demasiado tarde [Argentina]; el último minuto,{n} (The last minute)
elf,"elfo {m}, duende {m}",{n} /ɛlf/ (a mythical being)
Elginism,elginismo,{n} /ˈɛlɡɪnɪzəm̩/ (cultural vandalism)
Elias,,{prop} (male given name)
elicit,"sonsacar, obtener","{v} (to evoke, educe)"
eligibility,elegibilidad,{n} (quality of being eligible)
Elijah,Elías; Elías,{prop} (biblical prophet); {prop} (male given name)
eliminate,matar; eliminar,{v} (kill); {v} /ɪˈlɪməneɪt/ (completely destroy)
Elisabeth,,{prop} (female given name)
Elisha,Eliseo,{prop} /ɨˈlaɪʃə/ (biblical prophet)
Elissa,Elisa,{prop} (name of Queen Dido)
Elista,Elistá,{prop} (city in Russia)
elite,élite {f},{n} /ɪˈliːt/ (group with higher status)
elitism,elitismo {m},{n} (belief society should be run by elite)
elitist,elitista; elitista {m} {f},{adj} (of or relating to elitism); {n} (someone who believes in rule by an elite group)
elixir,elixir {m},{n} /ɪˈlɪksə/
elixir of life,elíxir de la vida {m},{n} (elixir that brings immortality)
Elizabeth,Isabel; Isabel; ,{prop} /əˈlɪzəbəθ/ (female given name); {prop} (the mother of John the Baptist); {prop} (wife of Aaron)
Elizabethan,isabelino,{adj} (pertaining to the reign of Elizabeth I of England)
elk,; ,{n} /ɛlk/ (wapiti - Cervus elaphus canadensis); {n} (moose)
Elliott wave,onda de Elliott {f},{n} (Elliott wave)
ellipse,elipse {f},{n} (curve)
ellipsis,puntos suspensivos {m} {p},{n} /ɪˈlɪpsɪs/ (mark used in printing to indicate an omission)
ellipsoid,,{adj} (shaped like an ellipse)
elliptical,elíptico,"{adj} /ɪˈlɪp.tɪ.kəl/ (in shape reminding of an ellipse, oval)"
elm,olmo {m},{n} /ɛlm/ (tree of genus Ulmus)
El Niño,El Niño {m},{n} (a global coupled ocean-atmosphere phenomenon)
Eloise,Eloisa,{prop} (female given name)
eloquence,elocuencia {f},{n} /ˈɛləkwəns/ (the quality of artistry and persuasiveness in speech or writing)
eloquent,elocuente {m} {f},{adj} /ˈɛl.əˌkwənt/ (fluently persuasive and articulate)
El Salvador,El Salvador {m},{prop} /ɛl ˈsæl.və.dɔɹ/ (country in Central America)
else,sino,{adv} /ɛls/
elsewhere,"en otra parte, en otro lugar; a otra parte, a otro lugar",{adv} /ˈɛlsˌʍɛːɹ/ (in or at some other place); {adv} (to some other place)
elucidate,"dilucidar, elucidar",{v} /əˈluː.sɪ.deɪt/ (make clear)
elude,eludir,{v} (to evade)
elusive,elusivo,"{adj} /ɪˈluːsɪv/ (evading capture, comprehension or remembrance)"
elver,angula {f},{n} (a young eel)
Elvira,Elvira,{prop} (female given name)
Elysium,Elíseo {m},"{prop} /ɪˈli.ʒi.əm/ (In mythology, the home of the blessed after death)"
em,eme {f},"{n} /ɛm/ (name of the letter M, m)"
emaciated,demacrado,{adj} /əˈmeɪsieɪtɪd/ (thin or haggard)
email,; ,{n} /ˈiːmeɪl/ (e-mail); {v} (e-mail)
emancipate,emancipar,{v} (To set free from the power of another)
emancipation,emancipación {f},"{n} /ɨˈmænsɨˈpejʃnˌ/ (The act of setting free from the power of another, from slavery, subjection, dependence, or controlling influence)"
emasculate,"emasculado {m}, castrado {m}; debilitado {m}; emascular; debilitar; emascular, castrar","{adj} /ɪˈmæs.kjəˌleɪt/ (castrated, emasculated); {v} (to weaken); {v} (to castrate)"
emasculation,emasculación {f},{n} (castration)
embalm,embalsamar,{v} (to treat a corpse in order to prevent decomposition)
embalmer,embalsamador {m},{n} (one who embalms)
embarcadère,embarcadero {m},"{n} (a pier, a wharf)"
embarge,imponer,{v} /əmˈbɑrdʒ/
embargo,embargo {m}; embargo {m},{n} (a ban on trade with another country); {n} /ɪmˈbɑɹɡoʊ/ (an order by the government prohibiting ships from leaving port)
embark,embarcar; embarcarse,{v} /ɪmˈbɑː(ɹ)k/ (to get on a boat); {v} (to start)
embarrass,avergonzar,{v} /ɪmˈbæ.ɹəs/ (to humiliate; to disrupt somebody's composure or comfort with acting publicly or freely)
embarrassed,avergonzado,{adj} / / (Having a feeling of shameful discomfort)
embarrassing,embarazoso {m},{adj} (causing embarrassment)
embarrassment,"vergüenza {f}, corte {m} [Spain, colloquial], pena {f} [Caribbean Islands, Central America, Colombia, Mexico, Venezuela - colloquial], plancha {m} [Chile, colloquial], pudor {m} [especially Argentina, Chile, Uruguay - formal usage in other countries], roche {m} [Peru, colloquial]",{n} /ɪmˈbæɹəsmənt/ (state of discomfort)
embassy,embajada {f},{n} /ˈɛmbəsi/ (organization representing a foreign state)
embed,"embutir, empotrar, embeber",{v} /ɛmˈbɛd/ (lay as in a bed; lay in surrounding matter)
embedded,incrustado {m}; empotrado {m},"{adj} (partially buried in concrete or planted in earth); {adj} (part of; firmly, or securely surrounded; lodged solidly into)"
embellish,embellecer; adornar,"{v} /ɪmˈbɛlɪʃ/ (To make more beautiful and attractive; to decorate); {v} (To make something sound or look better or more acceptable than it is in reality, to distort)"
ember,"brasa {f}, ascua {f}",{n} /ˈɛm.bɚ/ (glowing piece of coal or wood)
embers,"brasas {f} {p}, ascuas {f} {p}",{n} (remains of a fire)
embetterment,,{n} (improvement)
embezzle,malversar,{v} /əmˈbɛzəl/ (to steal money that one has been trusted with)
embezzlement,"apropiación indebida {f}, peculado {m}",{n} (The fraudulent conversion of property from a property owner)
embezzler,malversador {m},{n} /əmˈbɛzlər/ (one who steals money they have been trusted with)
embiggen,"engrandecer, agrandar",{v} /ɛmˈbɪɡə̆n/ (Make bigger)
emblem,emblema {m},{n} /ˈɛmbləm/ (representative symbol)
emblematic,emblemático,{adj} (serving as a symbol)
embodiment,encarnación {f},{n} (entity typifying an abstraction)
embody,"personificar, encarnar",{v} (To represent in a physical form; to incarnate or personify)
embolism,embolia {f},{n} (obstruction or occlusion of an artery by an embolus)
embolization,embolización {f},{n} (minimally invasive procedure)
emboss,repujar,{v} (to mark or decorate with a raised design or symbol)
embrace,abrazar,{v} /ɪmˈbɹeɪs/ (to hug (a person))
embroider,bordar,{v} (to stitch a decorative design on fabric with needle and thread)
embroidery,bordado,{n} /ɪmˈbɹɔɪdəɹi/ (ornamentation)
embryo,embrión {m}; embrión {m}; embrión {m}; embrión {m}; embrión {m},"{n} (an organism in the earlier stages of development before it emerges from the egg, or before metamorphosis); {n} (botany: a rudimentary plant contained in the seed); {n} /ˈɛmbɹiəʊ/ (an unborn baby that is less developed than a fetus); {n} (in humans: the cell growth up to the end of the seventh week in the mother's body); {n} (in viviparous animals: the young animal's earliest stages in the mother's body)"
embryologic,,{adj} (embryological)
embryonic,embrionario; embrionario,"{adj} /ˈɛm.bɹi.ɒn.ɪk/ (embryology: of or relating to an embryo); {adj} (figuratively: something, especially a project, that is very new and is still evolving)"
emerald,esmeralda {f},{n} (gemstone)
emerge,aflorar; emerger; emerger; emerger,{v}; {v} (to become known); {v} / / (to come into view); {v} (to come out of)
emergence,surgimiento {m}; emergencia {f},"{n} (The act of rising out of a fluid, or coming forth from envelopment or concealment, or of rising into view); {n} (the arising of emergent structure in complex systems)"
emergency,"emergencia {f}, urgencia {f}",{n} /ɪˈmɝ.dʒən.si/ (situation requiring urgent assistance)
emergency exit,salida de auxilio {f},{n} (exit for evacuation)
emetic,emético; emético,{adj} /əˈmɛt.ɪk/ (causing nausea and vomiting); {n} (an agent that induces vomiting)
emigrant,emigrante {m} {f},{n} /ˈɛmɪɡɹənt/ (someone who leaves a country to settle in a new country)
emigrate,emigrar,{v} (to leave one's country in order to reside elsewhere)
emigration,emigración {f},{n} (act of emigrating)
Emil,Emilio,{prop} (male given name)
Emile,,{prop} (Emil)
Emily,Emilia {f},{prop} (given name)
eminent,eminente,"{adj} /ˈɛmɪnənt/ (of a person: distinguished, noteworthy)"
eminently,sumamente; sumamente,{adv} /ˈɛmɪnəntli/ (in an eminent manner); {adv} (to a great degree)
